run_id,H,k,latency_ms
pszH1_k4_anthropic,1,4,16466.10
pszH1_k4_anthropic,1,4,18775.93
pszH1_k4_anthropic,1,4,18426.08
pszH1_k4_anthropic,1,4,20312.27
pszH1_k4_anthropic,1,4,15458.58
pszH1_k4_anthropic,1,4,19328.06
pszH1_k4_anthropic,1,4,23271.71
pszH1_k4_anthropic,1,4,14915.02
pszH1_k4_anthropic,1,4,16912.82
pszH1_k4_anthropic,1,4,14524.61
pszH1_k4_anthropic,1,4,16883.89
pszH1_k4_anthropic,1,4,14496.44
pszH1_k4_anthropic,1,4,24742.93
pszH1_k4_anthropic,1,4,19203.23
pszH1_k4_anthropic,1,4,14878.57
pszH1_k4_anthropic,1,4,17408.58
pszH1_k4_anthropic,1,4,18142.19
pszH1_k4_anthropic,1,4,22121.98
pszH1_k4_anthropic,1,4,13833.26
pszH1_k4_anthropic,1,4,13634.02
pszH1_k4_anthropic,1,4,14971.18
pszH1_k6_anthropic,1,6,16423.91
pszH1_k6_anthropic,1,6,17434.43
pszH1_k6_anthropic,1,6,13956.73
pszH1_k6_anthropic,1,6,19315.55
pszH1_k6_anthropic,1,6,16545.75
pszH1_k6_anthropic,1,6,15002.64
pszH1_k6_anthropic,1,6,17802.42
pszH1_k6_anthropic,1,6,19252.79
pszH1_k6_anthropic,1,6,16788.37
pszH1_k6_anthropic,1,6,19338.32
pszH1_k6_anthropic,1,6,17689.65
pszH1_k6_anthropic,1,6,15855.25
pszH1_k6_anthropic,1,6,16518.28
pszH1_k6_anthropic,1,6,16138.31
pszH1_k6_anthropic,1,6,28807.23
pszH1_k6_anthropic,1,6,25120.27
pszH1_k6_anthropic,1,6,17814.35
pszH1_k6_anthropic,1,6,16043.87
pszH1_k6_anthropic,1,6,11577.30
pszH1_k6_anthropic,1,6,18894.47
pszH1_k6_anthropic,1,6,21246.72
pszH1_k8_anthropic,1,8,21046.71
pszH1_k8_anthropic,1,8,21840.43
pszH1_k8_anthropic,1,8,19699.14
pszH1_k8_anthropic,1,8,21992.18
pszH1_k8_anthropic,1,8,25051.30
pszH1_k8_anthropic,1,8,20229.92
pszH1_k8_anthropic,1,8,18256.75
pszH1_k8_anthropic,1,8,19654.14
pszH1_k8_anthropic,1,8,24026.72
pszH1_k8_anthropic,1,8,18584.72
pszH1_k8_anthropic,1,8,15019.55
pszH1_k8_anthropic,1,8,21601.04
pszH1_k8_anthropic,1,8,17348.94
pszH1_k8_anthropic,1,8,19290.57
pszH1_k8_anthropic,1,8,12858.95
pszH1_k8_anthropic,1,8,18298.66
pszH1_k8_anthropic,1,8,14790.15
pszH1_k8_anthropic,1,8,13892.11
pszH1_k8_anthropic,1,8,15676.76
pszH1_k8_anthropic,1,8,15894.82
pszH1_k8_anthropic,1,8,12968.83
pszH2_k4_anthropic,2,4,18905.51
pszH2_k4_anthropic,2,4,15908.06
pszH2_k4_anthropic,2,4,19656.09
pszH2_k4_anthropic,2,4,16033.73
pszH2_k4_anthropic,2,4,19104.05
pszH2_k4_anthropic,2,4,19284.67
pszH2_k4_anthropic,2,4,15848.37
pszH2_k4_anthropic,2,4,17122.32
pszH2_k4_anthropic,2,4,21411.09
pszH2_k4_anthropic,2,4,15941.37
pszH2_k4_anthropic,2,4,18698.30
pszH2_k4_anthropic,2,4,22455.47
pszH2_k4_anthropic,2,4,15471.33
pszH2_k4_anthropic,2,4,18016.71
pszH2_k4_anthropic,2,4,13989.08
pszH2_k4_anthropic,2,4,16062.75
pszH2_k4_anthropic,2,4,14829.83
pszH2_k4_anthropic,2,4,14865.04
pszH2_k4_anthropic,2,4,13558.41
pszH2_k4_anthropic,2,4,12701.03
pszH2_k4_anthropic,2,4,15740.72
pszH2_k6_anthropic,2,6,18817.57
pszH2_k6_anthropic,2,6,24148.69
pszH2_k6_anthropic,2,6,16443.49
pszH2_k6_anthropic,2,6,16271.87
pszH2_k6_anthropic,2,6,14301.62
pszH2_k6_anthropic,2,6,18028.29
pszH2_k6_anthropic,2,6,21790.47
pszH2_k6_anthropic,2,6,18517.64
pszH2_k6_anthropic,2,6,17738.54
pszH2_k6_anthropic,2,6,15778.31
pszH2_k6_anthropic,2,6,17778.60
pszH2_k6_anthropic,2,6,18907.24
pszH2_k6_anthropic,2,6,18317.74
pszH2_k6_anthropic,2,6,16004.67
pszH2_k6_anthropic,2,6,15017.53
pszH2_k6_anthropic,2,6,19928.52
pszH2_k6_anthropic,2,6,16639.77
pszH2_k6_anthropic,2,6,13379.68
pszH2_k6_anthropic,2,6,16016.17
pszH2_k6_anthropic,2,6,17263.55
pszH2_k6_anthropic,2,6,14774.48
pszH2_k8_anthropic,2,8,19177.11
pszH2_k8_anthropic,2,8,19027.38
pszH2_k8_anthropic,2,8,15356.66
pszH2_k8_anthropic,2,8,17587.65
pszH2_k8_anthropic,2,8,15070.14
pszH2_k8_anthropic,2,8,16617.73
pszH2_k8_anthropic,2,8,19155.64
pszH2_k8_anthropic,2,8,15106.29
pszH2_k8_anthropic,2,8,15133.73
pszH2_k8_anthropic,2,8,16445.72
pszH2_k8_anthropic,2,8,23192.88
pszH2_k8_anthropic,2,8,18803.98
pszH2_k8_anthropic,2,8,16962.68
pszH2_k8_anthropic,2,8,13388.38
pszH2_k8_anthropic,2,8,12522.67
pszH2_k8_anthropic,2,8,16869.20
pszH2_k8_anthropic,2,8,16867.94
pszH2_k8_anthropic,2,8,14538.75
pszH2_k8_anthropic,2,8,18912.45
pszH2_k8_anthropic,2,8,15727.90
pszH2_k8_anthropic,2,8,17569.22
pszH3_k4_anthropic,3,4,16078.87
pszH3_k4_anthropic,3,4,20604.68
pszH3_k4_anthropic,3,4,18788.44
pszH3_k4_anthropic,3,4,15150.99
pszH3_k4_anthropic,3,4,14929.77
pszH3_k4_anthropic,3,4,22152.38
pszH3_k4_anthropic,3,4,15403.00
pszH3_k4_anthropic,3,4,27306.73
pszH3_k4_anthropic,3,4,15323.40
pszH3_k4_anthropic,3,4,19389.49
pszH3_k4_anthropic,3,4,20346.63
pszH3_k4_anthropic,3,4,20053.14
pszH3_k4_anthropic,3,4,16939.47
pszH3_k4_anthropic,3,4,14681.10
pszH3_k4_anthropic,3,4,14103.66
pszH3_k4_anthropic,3,4,17542.21
pszH3_k4_anthropic,3,4,14059.95
pszH3_k4_anthropic,3,4,14846.70
pszH3_k4_anthropic,3,4,15256.61
pszH3_k4_anthropic,3,4,16281.92
pszH3_k4_anthropic,3,4,15496.10
pszH3_k6_anthropic,3,6,17229.17
pszH3_k6_anthropic,3,6,17602.44
pszH3_k6_anthropic,3,6,18606.05
pszH3_k6_anthropic,3,6,16974.83
pszH3_k6_anthropic,3,6,17407.79
pszH3_k6_anthropic,3,6,17984.60
pszH3_k6_anthropic,3,6,17578.94
pszH3_k6_anthropic,3,6,17399.28
pszH3_k6_anthropic,3,6,15802.36
pszH3_k6_anthropic,3,6,19518.10
pszH3_k6_anthropic,3,6,16602.81
pszH3_k6_anthropic,3,6,15851.68
pszH3_k6_anthropic,3,6,16595.16
pszH3_k6_anthropic,3,6,16023.30
pszH3_k6_anthropic,3,6,15244.96
pszH3_k6_anthropic,3,6,17714.02
pszH3_k6_anthropic,3,6,20198.44
pszH3_k6_anthropic,3,6,16317.06
pszH3_k6_anthropic,3,6,15031.22
