run_id,H,k,latency_ms
pszH2_k4_anthropic,2,4,18905.51
pszH2_k4_anthropic,2,4,15908.06
pszH2_k4_anthropic,2,4,19656.09
pszH2_k4_anthropic,2,4,16033.73
pszH2_k4_anthropic,2,4,19104.05
pszH2_k4_anthropic,2,4,19284.67
pszH2_k4_anthropic,2,4,15848.37
pszH2_k4_anthropic,2,4,17122.32
pszH2_k4_anthropic,2,4,21411.09
pszH2_k4_anthropic,2,4,15941.37
pszH2_k4_anthropic,2,4,18698.30
pszH2_k4_anthropic,2,4,22455.47
pszH2_k4_anthropic,2,4,15471.33
pszH2_k4_anthropic,2,4,18016.71
pszH2_k4_anthropic,2,4,13989.08
pszH2_k4_anthropic,2,4,16062.75
pszH2_k4_anthropic,2,4,14829.83
pszH2_k4_anthropic,2,4,14865.04
pszH2_k4_anthropic,2,4,13558.41
pszH2_k4_anthropic,2,4,12701.03
pszH2_k4_anthropic,2,4,15740.72
