Class Name,Method/Constructor,Expected Input,Actual Input Called With,Expected Output,Output Destination,Config Dependencies,Status,Notes
# Core Components
MainAgent,__init__,"config: Union[dict, InsightSpikeConfig], datastore: DataStore","config: dict, datastore: FileSystemDataStore","None (initializes agent)","self","All config sections",OK,"Entry point"
MainAgent,add_knowledge,"text: str, c_value: float = 0.5","text: str","Dict[str, Any]","caller","None",OK,"c_value defaults to 0.5"
MainAgent,process_question,"question: str, max_cycles: int = 10, verbose: bool = False","question: str","CycleResult","caller","llm, memory, graph",OK,"Main processing method"

# Memory Layer
CachedMemoryManager,__init__,"datastore: DataStore, embedder: Any, cache_size: int = 100","datastore: FileSystemDataStore, embedder: EmbeddingManager, cache_size: 100","None","self","memory.cache_size",OK,"Memory with cache"
CachedMemoryManager,add_episode,"text: str, c_value: float = 0.5, metadata: Optional[Dict] = None","text: str, c_value: 0.5, metadata: None","int (episode index)","MainAgent.add_knowledge","None",ERROR,"Returns index, but embedding shape issue"
CachedMemoryManager,search_episodes,"query_embedding: np.ndarray, top_k: int = 10","query_embedding: np.ndarray(1,384), top_k: 5","List[Tuple[Episode, float]]","MainAgent._run_cycle","memory.max_retrieved_docs",ERROR,"Expects 1D array"
CachedMemoryManager,get_memory_stats,"None","None","Dict[str, Any]","MainAgent.get_memory_graph_state","None",OK,"Stats for monitoring"

L2MemoryManager,__init__,"config: Optional[Any], embedder: Optional[Any]","config: dict, embedder: EmbeddingManager","None","self","memory.*",OK,"Original memory manager"
L2MemoryManager,add_episode,"text: str, vec: Optional[np.ndarray] = None, c_value: Optional[float] = None, metadata: Optional[Dict] = None","text: str, vec: None, c_value: 0.5","int","CachedMemoryManager","None",OK,"Generates embedding if not provided"
L2MemoryManager,search_episodes,"query_embedding: np.ndarray, top_k: int = 10","query_embedding: np.ndarray(384,), top_k: varies","List[Tuple[Episode, float]]","L3GraphReasoner","memory.max_retrieved_docs",OK,"Similarity search"

# Embedding Layer
EmbeddingManager,__init__,"model_name: str = None, config: Optional[Any] = None","model_name: 'sentence-transformers/all-MiniLM-L6-v2', config: dict","None","self","embedding.*",OK,"Manages embeddings"
EmbeddingManager,get_embedding,"text: str","text: str","np.ndarray","CachedMemoryManager.add_episode","None",ERROR,"Returns (1,384) not (384,)"
EmbeddingManager,encode,"text: Union[str, List[str]], **kwargs","text: str or List[str]","np.ndarray","Various","embedding.batch_size",OK,"Batch encoding"

# Episode Management
Episode,__init__,"text: str, vec: np.ndarray, confidence: float, metadata: Dict","text: str, vec: np.ndarray(1,384), confidence: 0.5, metadata: {}","None","self","None",ERROR,"vec shape issue"
Episode,timestamp,"None (property)","None","float","Various","None",OK,"Auto-generated"
Episode,to_dict,"None","None","Dict[str, Any]","DataStore.save_episodes","None",OK,"Serialization"

# Graph Layer
L3GraphReasoner,__init__,"config: Union[dict, object], embedder: Any","config: dict, embedder: EmbeddingManager","None","self","graph.*",OK,"Graph reasoning"
L3GraphReasoner,analyze_documents,"documents: List[Dict], context: Optional[Dict] = None","documents: List[Dict[text,embedding,metadata]], context: None","Dict[str, Any]","MainAgent.process_question","graph.*, processing.*",OK,"Main analysis method"
L3GraphReasoner,_ensure_initialized,"None","None","None","self","graph.use_gnn",OK,"Lazy init"

ScalableGraphBuilder,__init__,"config: Optional[Any] = None, monitor: Optional[GraphOperationMonitor] = None","config: dict","None","self","graph.similarity_threshold",OK,"Graph construction"
ScalableGraphBuilder,build_graph,"documents: List[Dict[str, Any]]","documents: List[Dict[text,embedding,metadata]]","Union[nx.Graph, Data]","L3GraphReasoner","graph.use_gnn",ERROR,"Expects 1D embeddings"
ScalableGraphBuilder,_compute_similarities,"embeddings: np.ndarray","embeddings: np.ndarray","np.ndarray","self.build_graph","None",OK,"Internal method"

# Graph Analysis
GraphAnalyzer,__init__,"spike_ged_threshold: float, spike_ig_threshold: float","spike_ged_threshold: -0.2, spike_ig_threshold: 0.15","None","self","graph.spike_*_threshold",OK,"Metrics calculator"
GraphAnalyzer,calculate_metrics,"current_graph: Any, previous_graph: Any, delta_ged_func: Callable, delta_ig_func: Callable","current_graph: nx.Graph/PyGData, previous_graph: nx.Graph/PyGData, ...","Dict[str, Any]","L3GraphReasoner","None",ERROR,"Mixed graph types"
GraphAnalyzer,detect_spike,"delta_ged: float, delta_ig: float","delta_ged: float, delta_ig: float","bool","RewardCalculator","graph.spike_*_threshold",OK,"Spike detection"

RewardCalculator,__init__,"config: Any","config: dict","None","self","graph.*",OK,"Reward calculation"
RewardCalculator,calculate_reward,"metrics: Dict[str, Any], conflicts: float","metrics: dict, conflicts: float","Dict[str, Any]","L3GraphReasoner.analyze_documents","None",OK,"Final reward"

# Algorithms
ProperDeltaGED,__init__,"None","None","None","self","None",OK,"GED calculator"
ProperDeltaGED,__call__,"prev_graph: nx.Graph, curr_graph: nx.Graph","prev_graph: PyGData, curr_graph: PyGData","float","GraphAnalyzer","None",ERROR,"Expects NetworkX"
ProperDeltaGED,set_reference,"graph: nx.Graph","graph: nx.Graph","None","self","None",OK,"Set baseline"

InformationGain,__init__,"None","None","None","self","None",OK,"IG calculator"
InformationGain,__call__,"prev_graph: nx.Graph, curr_graph: nx.Graph","prev_graph: PyGData, curr_graph: PyGData","float","GraphAnalyzer","None",ERROR,"Expects NetworkX"

# LLM Layer
L4LLMInterface,__init__,"config: Union[dict, LLMConfig]","config: dict","None","self","llm.*",ERROR,"Dict handling issue"
L4LLMInterface,generate_response,"context: Dict[str, Any], question: str, history: List[Dict] = None","context: dict, question: str","str","MainAgent.process_question","llm.*",OK,"Response generation"
L4LLMInterface,_build_prompt,"context: Dict[str, Any], question: str, history: List[Dict]","context: dict, question: str, history: []","str","self.generate_response","llm.prompt_style",OK,"Prompt building"

LLMProviderRegistry,get_instance,"config: Union[dict, LLMConfig]","config: dict","Any (provider)","L4LLMInterface","llm.provider",ERROR,"Dict has no .provider"
LLMProviderRegistry,_create_provider,"config: Any","config: LLMConfig","Any","self.get_instance","llm.*",OK,"Factory method"

# Providers
AnthropicProvider,__init__,"api_key: str, model: str = 'claude-3-haiku-20240307', **kwargs","api_key: str, model: str","None","self","llm.api_key, llm.model",OK,"Claude provider"
AnthropicProvider,generate,"prompt: str, max_tokens: int = 1000, temperature: float = 0.7, **kwargs","prompt: str, max_tokens: 300, temperature: 0.3","str","L4LLMInterface","llm.*",OK,"Generate text"

MockProvider,__init__,"**kwargs","**kwargs","None","self","None",OK,"Test provider"
MockProvider,generate,"prompt: str, **kwargs","prompt: str","str","L4LLMInterface","None",OK,"Mock response"

# DataStore
DataStoreFactory,create,"store_type: str, **kwargs","store_type: 'filesystem', base_path: str","DataStore","MainAgent","None",OK,"Factory pattern"

FileSystemDataStore,__init__,"base_path: str","base_path: str","None","self","None",OK,"File storage"
FileSystemDataStore,save_episodes,"episodes: List[Dict], namespace: str = 'episodes'","episodes: List[Dict], namespace: 'episodes'","None","CachedMemoryManager","None",OK,"Save to JSON"
FileSystemDataStore,load_episodes,"namespace: str = 'episodes'","namespace: 'episodes'","List[Dict]","CachedMemoryManager","None",OK,"Load from JSON"

# Config Management
ConfigNormalizer,normalize,"config: Union[Dict, InsightSpikeConfig, BaseModel]","config: dict","InsightSpikeConfig","Various","All sections",OK,"Config normalization"
ConfigNormalizer,get_llm_config,"config: Union[Dict, InsightSpikeConfig, BaseModel]","config: dict","LLMConfig","L4LLMInterface","llm.*",OK,"Extract LLM config"

InsightSpikeConfig,__init__,"**data","llm: LLMConfig, memory: MemoryConfig, ...","None","self","All",OK,"Main config model"
LLMConfig,__init__,"**data","provider: str, api_key: str, ...","None","self","llm.*",OK,"LLM settings"
MemoryConfig,__init__,"**data","episodic_memory_capacity: int, ...","None","self","memory.*",OK,"Memory settings"
EmbeddingConfig,__init__,"**data","model_name: str, dimension: int, ...","None","self","embedding.*",OK,"Embedding settings"
GraphConfig,__init__,"**data","similarity_threshold: float, ...","None","self","graph.*",OK,"Graph settings"

# Adaptive Processing
AdaptiveProcessor,__init__,"config: Dict[str, Any], memory_manager: Any, graph_reasoner: Any, llm_interface: Any","config: dict, memory_manager: L2Memory, graph_reasoner: L3Graph, llm_interface: L4LLM","None","self","processing.adaptive_loop",OK,"Adaptive loop"
AdaptiveProcessor,process,"question: str, max_attempts: int = 5","question: str","Dict[str, Any]","MainAgent","processing.adaptive_loop.*",OK,"Main processing"

ExplorationLoop,__init__,"memory_manager: Any, graph_reasoner: Any, llm_interface: Any, strategy: ExplorationStrategy","memory_manager: L2Memory, graph_reasoner: L3Graph, llm_interface: L4LLM, strategy: Strategy","None","self","None",OK,"Exploration logic"
ExplorationLoop,explore,"question: str, context: Dict[str, Any]","question: str, context: dict","ExplorationResult","AdaptiveProcessor","None",OK,"Single exploration"

# Type Adapters
GraphTypeAdapter,to_networkx,"graph: Union[nx.Graph, Data, Dict]","graph: PyGData","nx.Graph","Various","None",OK,"Convert to NetworkX"
GraphTypeAdapter,to_pyg,"graph: Union[nx.Graph, Data], node_features: Optional[np.ndarray] = None","graph: nx.Graph, node_features: None","Data","Various","None",OK,"Convert to PyG"

# Monitoring
GraphOperationMonitor,__init__,"None","None","None","self","monitoring.*",OK,"Performance monitoring"
