Directory,File,Class Name,Description,Parent Classes
insightspike.adaptive.calculators,adaptive_topk.py,AdaptiveTopKCalculator,Calculates adaptive topK values based on Layer 1 analysis.,TopKCalculator
insightspike.adaptive.calculators,adaptive_topk.py,AdaptiveTopKConfig,Configuration for adaptive topK algorithm,object
insightspike.adaptive.core,adaptive_processor.py,AdaptiveProcessor,Main adaptive processing coordinator.,object
insightspike.adaptive.core,exploration_loop.py,ExplorationLoop,Manages the L1→L2→L3 exploration loop.,object
insightspike.adaptive.core,exploration_loop_fixed.py,ExplorationLoopFixed,Fixed exploration loop that properly compares graphs for spike detection.,object
insightspike.adaptive.core,interfaces.py,ExplorationParams,Parameters for a single exploration attempt,object
insightspike.adaptive.core,interfaces.py,ExplorationResult,Result of a single exploration attempt,object
insightspike.adaptive.core,interfaces.py,ExplorationStrategy,Abstract base class for exploration strategies,ABC
insightspike.adaptive.core,interfaces.py,PatternLearner,Abstract base class for pattern learning,ABC
insightspike.adaptive.core,interfaces.py,TopKCalculator,Abstract base class for topK calculation,ABC
insightspike.adaptive.strategies,alternating.py,AlternatingStrategy,Alternating exploration strategy.,BaseStrategy
insightspike.adaptive.strategies,base.py,BaseStrategy,Base class with common strategy functionality,ExplorationStrategy
insightspike.adaptive.strategies,expanding.py,ExpandingStrategy,Expanding exploration strategy.,BaseStrategy
insightspike.adaptive.strategies,narrowing.py,NarrowingStrategy,Narrowing exploration strategy.,BaseStrategy
insightspike.algorithms,entropy_calculator.py,ContentStructureSeparation,Separates content and structural aspects of data for entropy calculation.,object
insightspike.algorithms,graph_importance.py,DynamicImportanceTracker,Track and update importance scores dynamically as the graph evolves.,object
insightspike.algorithms,entropy_calculator.py,EntropyCalculator,Unified entropy calculator with proper content/structure separation.,object
insightspike.algorithms,information_gain.py,EntropyMethod,Methods for calculating entropy.,Enum
insightspike.algorithms,entropy_calculator.py,EntropyResult,Result of entropy calculation with content/structure separation.,object
insightspike.algorithms,graph_edit_distance.py,GEDResult,Result of GED calculation with metadata.,object
insightspike.algorithms,graph_edit_distance.py,GraphEditDistance,Graph Edit Distance calculator for measuring conceptual changes.,object
insightspike.algorithms,graph_importance.py,GraphImportanceCalculator,Calculate node importance using various graph centrality measures.,object
insightspike.algorithms,information_gain.py,IGResult,Result of Information Gain calculation with metadata.,object
insightspike.algorithms,information_gain.py,ImprovedEntropyMethods,Advanced entropy calculation methods integrated from graph/metrics/entropy_ig.py.,object
insightspike.algorithms,information_gain.py,InformationGain,Information Gain calculator for measuring learning progress.,object
insightspike.algorithms,metrics_selector.py,MetricsSelector,Select and manage metric calculation methods,object
insightspike.algorithms,graph_edit_distance.py,MockGraph,,object
insightspike.algorithms,improved_similarity_entropy.py,NormalizationMethod,Available normalization methods,Enum
insightspike.algorithms,graph_edit_distance.py,OptimizationLevel,Optimization levels for GED calculation.,Enum
insightspike.algorithms,proper_delta_ged.py,ProperDeltaGED,Maintains reference graph state for proper ΔGED calculation.,object
insightspike.algorithms,pyg_adapter.py,PyGAdapter,Adapter to use PyTorch Geometric graphs with NetworkX-based algorithms,object
insightspike.algorithms,pyg_adapter.py,PyGGraphEditDistance,Graph Edit Distance calculator that works directly with PyG graphs.,object
insightspike.algorithms.legacy,information_gain_legacy.py,EntropyMethod,Methods for calculating entropy.,Enum
insightspike.algorithms.legacy,graph_edit_distance_legacy.py,GEDResult,Result of GED calculation with metadata.,object
insightspike.algorithms.legacy,graph_edit_distance_legacy.py,GraphEditDistance,Graph Edit Distance calculator for measuring conceptual changes.,object
insightspike.algorithms.legacy,information_gain_legacy.py,IGResult,Result of Information Gain calculation with metadata.,object
insightspike.algorithms.legacy,information_gain_legacy.py,ImprovedEntropyMethods,Advanced entropy calculation methods integrated from graph/metrics/entropy_ig.py.,object
insightspike.algorithms.legacy,information_gain_legacy.py,InformationGain,Information Gain calculator for measuring learning progress.,object
insightspike.algorithms.legacy,graph_edit_distance_legacy.py,MockGraph,,object
insightspike.algorithms.legacy,graph_edit_distance_legacy.py,OptimizationLevel,Optimization levels for GED calculation.,Enum
insightspike.config,models.py,AdaptiveLoopConfig,Configuration for adaptive loop processing,BaseModel
insightspike.config,models.py,Config,Pydantic configuration,object
insightspike.config,loader.py,ConfigLoader,Unified configuration loader that handles all configuration sources,object
insightspike.config,presets.py,ConfigPresets,Configuration presets for different environments and use cases,object
insightspike.config,constants.py,DataType,Types of data stored by the system.,Enum
insightspike.config,constants.py,Defaults,Default values used throughout the system.,object
insightspike.config,models.py,EmbeddingConfig,Embedding configuration,BaseModel
insightspike.config,constants.py,FileFormat,Supported file formats for data storage.,Enum
insightspike.config,models.py,GraphConfig,Graph processing & spike detection,BaseModel
insightspike.config,models.py,HybridWeightsConfig,Hybrid algorithm weights,BaseModel
insightspike.config,models.py,InsightSpikeConfig,Complete InsightSpike configuration - clean structure without backward compatibility,BaseModel
insightspike.config,models.py,LLMConfig,Language Model configuration,BaseModel
insightspike.config,models.py,LoggingConfig,Logging configuration,BaseModel
insightspike.config,models.py,MemoryConfig,Memory system configuration,BaseModel
insightspike.config,models.py,MonitoringConfig,Monitoring configuration,BaseModel
insightspike.config,models.py,OutputConfig,Output configuration,BaseModel
insightspike.config,models.py,PathsConfig,File system paths,BaseModel
insightspike.config,models.py,ProcessingConfig,Processing configuration,BaseModel
insightspike.core,exceptions.py,AgentError,Base exception for agent operations.,InsightSpikeException
insightspike.core,exceptions.py,AgentInitializationError,Raised when agent initialization fails.,AgentError
insightspike.core,exceptions.py,AgentProcessingError,Raised when agent processing encounters an error.,AgentError
insightspike.core,exceptions.py,ConfigNotFoundError,Raised when configuration file is not found.,ConfigurationError
insightspike.core,exceptions.py,ConfigurationError,Base exception for configuration issues.,InsightSpikeException
insightspike.core,error_handler.py,ConfigurationError,設定関連のエラー,InsightSpikeError
insightspike.core,exceptions.py,DataStoreError,Base exception for DataStore operations.,InsightSpikeException
insightspike.core,exceptions.py,DataStoreLoadError,Raised when loading data fails.,DataStoreError
insightspike.core,exceptions.py,DataStoreNotFoundError,Raised when requested data is not found.,DataStoreError
insightspike.core,exceptions.py,DataStorePermissionError,Raised when there are permission issues accessing storage.,DataStoreError
insightspike.core,exceptions.py,DataStoreSaveError,Raised when saving data fails.,DataStoreError
insightspike.core,enhanced_episode.py,EdgeInfo,Edge information for graph connections.,object
insightspike.core,enhanced_episode.py,EnhancedEpisode,Extended episode with geDIG memory management features.,Episode
insightspike.core,episode.py,Episode,"Single memory entry with vector embedding, text, and C-value.",object
insightspike.core,exceptions.py,GraphAnalysisError,Raised when graph analysis fails.,GraphError
insightspike.core,exceptions.py,GraphBuildError,Raised when graph construction fails.,GraphError
insightspike.core,exceptions.py,GraphError,Base exception for graph operations.,InsightSpikeException
insightspike.core,error_handler.py,InitializationError,初期化エラー,InsightSpikeError
insightspike.core,error_handler.py,InsightSpikeError,InsightSpike基底例外,Exception
insightspike.core,exceptions.py,InsightSpikeException,Base exception for all InsightSpike errors.,Exception
insightspike.core,error_handler.py,InsightSpikeLogger,統一ロギングクラス,object
insightspike.core,exceptions.py,InvalidConfigError,Raised when configuration is invalid or malformed.,ConfigurationError
