key,value
success_rate,0.0
avg_steps,250.0
avg_edges,246.925
g0_mean,-0.3247297098438627
gmin_mean,-0.32474140209253205
avg_k_star,1.1281
avg_delta_sp,0.0
avg_delta_sp_min,1.1692248669431777e-05
best_hop_mean,0.0019
best_hop_hist_0,9995.0
best_hop_hist_1,0.0
best_hop_hist_2,1.0
best_hop_hist_3,4.0
avg_time_ms_eval,30.918359020981008
p95_time_ms_eval,4.034482059068978
ag_rate,0.0229
dg_rate,0.8512
edge_compression_base,mem
edge_compression,0.9912204132281359
g0_p95,0.2975964202390343
g0_min,-0.4999999999985575
g0_max,0.6666573699626346
