current_episode_id,current_domain,timestamp,rank_1_episode_id,rank_1_similarity,rank_1_domain,rank_1_research_area,rank_1_is_cross_domain,rank_1_edge_weight,rank_1_connection_type,rank_2_episode_id,rank_2_similarity,rank_2_domain,rank_2_research_area,rank_2_is_cross_domain,rank_2_edge_weight,rank_2_connection_type,rank_3_episode_id,rank_3_similarity,rank_3_domain,rank_3_research_area,rank_3_is_cross_domain,rank_3_edge_weight,rank_3_connection_type,rank_4_episode_id,rank_4_similarity,rank_4_domain,rank_4_research_area,rank_4_is_cross_domain,rank_4_edge_weight,rank_4_connection_type,rank_5_episode_id,rank_5_similarity,rank_5_domain,rank_5_research_area,rank_5_is_cross_domain,rank_5_edge_weight,rank_5_connection_type,rank_6_episode_id,rank_6_similarity,rank_6_domain,rank_6_research_area,rank_6_is_cross_domain,rank_6_edge_weight,rank_6_connection_type,rank_7_episode_id,rank_7_similarity,rank_7_domain,rank_7_research_area,rank_7_is_cross_domain,rank_7_edge_weight,rank_7_connection_type,rank_8_episode_id,rank_8_similarity,rank_8_domain,rank_8_research_area,rank_8_is_cross_domain,rank_8_edge_weight,rank_8_connection_type,rank_9_episode_id,rank_9_similarity,rank_9_domain,rank_9_research_area,rank_9_is_cross_domain,rank_9_edge_weight,rank_9_connection_type,rank_10_episode_id,rank_10_similarity,rank_10_domain,rank_10_research_area,rank_10_is_cross_domain,rank_10_edge_weight,rank_10_connection_type
3,natural language understanding,2025-06-19T02:30:01.550454,1.0,2.1193466186523438,autonomous systems,Computer Vision,True,2.1193466186523438,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,natural language understanding,2025-06-19T02:30:01.550454,,,,,,,,0.0,1.913158893585205,medical diagnosis,Large Language Models,True,1.913158893585205,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,computer vision,2025-06-19T02:30:01.594980,2.0,2.0115418434143066,natural language understanding,Natural Language Processing,True,2.0115418434143066,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,computer vision,2025-06-19T02:30:01.594980,,,,,,,,1.0,2.1599719524383545,autonomous systems,Computer Vision,True,2.1599719524383545,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,computer vision,2025-06-19T02:30:01.594980,,,,,,,,,,,,,,,0.0,1.9638619422912598,medical diagnosis,Large Language Models,True,1.9638619422912598,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,robotics,2025-06-19T02:30:01.638041,3.0,2.251818895339966,computer vision,Reinforcement Learning,True,2.251818895339966,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,robotics,2025-06-19T02:30:01.638041,,,,,,,,2.0,1.998492956161499,natural language understanding,Natural Language Processing,True,1.998492956161499,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,robotics,2025-06-19T02:30:01.638041,,,,,,,,,,,,,,,1.0,2.1118600368499756,autonomous systems,Computer Vision,True,2.1118600368499756,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,robotics,2025-06-19T02:30:01.638041,,,,,,,,,,,,,,,,,,,,,,0.0,1.9103405475616455,medical diagnosis,Large Language Models,True,1.9103405475616455,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,cybersecurity,2025-06-19T02:30:01.682931,3.0,2.273695230484009,computer vision,Reinforcement Learning,True,2.273695230484009,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,cybersecurity,2025-06-19T02:30:01.682931,,,,,,,,2.0,1.9995760917663574,natural language understanding,Natural Language Processing,True,1.9995760917663574,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,cybersecurity,2025-06-19T02:30:01.682931,,,,,,,,,,,,,,,4.0,1.9404523372650146,robotics,Graph Neural Networks,True,1.9404523372650146,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,cybersecurity,2025-06-19T02:30:01.682931,,,,,,,,,,,,,,,,,,,,,,1.0,2.1219072341918945,autonomous systems,Computer Vision,True,2.1219072341918945,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,cybersecurity,2025-06-19T02:30:01.682931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.9000126123428345,medical diagnosis,Large Language Models,True,1.9000126123428345,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,climate modeling,2025-06-19T02:30:01.727012,3.0,2.2505455017089844,computer vision,Reinforcement Learning,True,2.2505455017089844,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,climate modeling,2025-06-19T02:30:01.727012,,,,,,,,5.0,2.0539402961730957,cybersecurity,Federated Learning,True,2.0539402961730957,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,climate modeling,2025-06-19T02:30:01.727012,,,,,,,,,,,,,,,2.0,1.9566903114318848,natural language understanding,Natural Language Processing,True,1.9566903114318848,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,climate modeling,2025-06-19T02:30:01.727012,,,,,,,,,,,,,,,,,,,,,,4.0,1.9296681880950928,robotics,Graph Neural Networks,True,1.9296681880950928,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,climate modeling,2025-06-19T02:30:01.727012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.1101486682891846,autonomous systems,Computer Vision,True,2.1101486682891846,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,climate modeling,2025-06-19T02:30:01.727012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.9109864234924316,medical diagnosis,Large Language Models,True,1.9109864234924316,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,drug discovery,2025-06-19T02:30:01.771615,3.0,2.253007411956787,computer vision,Reinforcement Learning,True,2.253007411956787,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,drug discovery,2025-06-19T02:30:01.771615,,,,,,,,5.0,1.9836468696594238,cybersecurity,Federated Learning,True,1.9836468696594238,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,drug discovery,2025-06-19T02:30:01.771615,,,,,,,,,,,,,,,6.0,2.0788676738739014,climate modeling,Explainable AI,True,2.0788676738739014,cross_domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
