episode_text,domain,research_area,complexity,novelty,episode_id,timestamp
Study of Graph Neural Networks in autonomous systems reveals insights about scalability.,autonomous systems,Graph Neural Networks,0.46844021343588127,0.8441457780381795,0,2025-06-18T21:10:35.272959
Novel Graph Neural Networks architecture shows improvements in autonomous systems applications.,autonomous systems,Graph Neural Networks,0.9191205804846779,0.6252933556882143,1,2025-06-18T21:10:35.348316
Recent research in Computer Vision achieves significant performance on climate modeling.,climate modeling,Computer Vision,0.22919871011806833,0.868366387961209,2,2025-06-18T21:10:35.361156
Novel Graph Neural Networks architecture shows improvements in climate modeling applications.,climate modeling,Graph Neural Networks,0.23544591841603357,0.21348723691406163,3,2025-06-18T21:10:35.374341
Recent research in Natural Language Processing achieves significant performance on cybersecurity.,cybersecurity,Natural Language Processing,0.19736996055984576,0.5236979086998187,4,2025-06-18T21:10:35.387254
Novel Graph Neural Networks architecture shows improvements in autonomous systems applications.,autonomous systems,Graph Neural Networks,0.3777101762128017,0.7346018603238674,5,2025-06-18T21:10:35.401144
Novel Machine Learning architecture shows improvements in drug discovery applications.,drug discovery,Machine Learning,0.4844958001095735,0.8748763273032764,6,2025-06-18T21:10:35.414604
Study of Deep Learning in computer vision reveals insights about scalability.,computer vision,Deep Learning,0.9646323776487632,0.1341212663758391,7,2025-06-18T21:10:35.427262
Novel Natural Language Processing architecture shows improvements in climate modeling applications.,climate modeling,Natural Language Processing,0.33422060063458736,0.501168692126859,8,2025-06-18T21:10:35.440205
Novel Natural Language Processing architecture shows improvements in climate modeling applications.,climate modeling,Natural Language Processing,0.6976884729398135,0.8725851745237114,9,2025-06-18T21:10:35.453472
Study of Graph Neural Networks in climate modeling reveals insights about scalability.,climate modeling,Graph Neural Networks,0.9047491168235242,0.9755052154816956,10,2025-06-18T21:10:35.466627
Study of Machine Learning in computer vision reveals insights about scalability.,computer vision,Machine Learning,0.14788950254179717,0.48258296390507993,11,2025-06-18T21:10:35.479367
Recent research in Computer Vision achieves significant performance on cybersecurity.,cybersecurity,Computer Vision,0.24537372381903255,0.6068200305669231,12,2025-06-18T21:10:35.491937
Recent research in Computer Vision achieves significant performance on drug discovery.,drug discovery,Computer Vision,0.8582956062379979,0.3483739613784853,13,2025-06-18T21:10:35.505298
Recent research in Machine Learning achieves significant performance on climate modeling.,climate modeling,Machine Learning,0.7780241694084644,0.6224580245857718,14,2025-06-18T21:10:35.518717
Novel Computer Vision architecture shows improvements in climate modeling applications.,climate modeling,Computer Vision,0.9930599776918988,0.6403332785457811,15,2025-06-18T21:10:35.531839
Study of Deep Learning in climate modeling reveals insights about scalability.,climate modeling,Deep Learning,0.8021045214564042,0.855987846451586,16,2025-06-18T21:10:35.544736
Study of Computer Vision in cybersecurity reveals insights about scalability.,cybersecurity,Computer Vision,0.5499797101347456,0.1132630235838982,17,2025-06-18T21:10:35.558639
Recent research in Machine Learning achieves significant performance on computer vision.,computer vision,Machine Learning,0.7852039527528448,0.714739775522881,18,2025-06-18T21:10:35.572272
Study of Machine Learning in cybersecurity reveals insights about scalability.,cybersecurity,Machine Learning,0.3821530977638309,0.6987173187392212,19,2025-06-18T21:10:35.585219
Recent research in Machine Learning achieves significant performance on drug discovery.,drug discovery,Machine Learning,0.7453557520365409,0.3919040724499028,20,2025-06-18T21:10:35.598766
