insight_id,node_id,node_type,episode_reference,relationship_strength
INS_0001_0200_01,Node_1,Episode_Node,Episode_1,Related
INS_0001_0200_01,Node_2,Episode_Node,Episode_2,Related
INS_0001_0200_01,Node_3,Episode_Node,Episode_3,Related
INS_0001_0200_01,Node_4,Episode_Node,Episode_4,Related
INS_0001_0200_01,Node_5,Episode_Node,Episode_5,Related
INS_0001_0200_01,Node_6,Episode_Node,Episode_6,Related
INS_0001_0200_01,Node_7,Episode_Node,Episode_7,Related
INS_0001_0200_01,Node_8,Episode_Node,Episode_8,Related
INS_0001_0200_01,Node_9,Episode_Node,Episode_9,Related
INS_0001_0200_01,Node_10,Episode_Node,Episode_10,Related
INS_0001_0200_01,Node_11,Episode_Node,Episode_11,Related
INS_0001_0200_01,Node_12,Episode_Node,Episode_12,Related
INS_0001_0200_01,Node_13,Episode_Node,Episode_13,Related
INS_0001_0200_01,Node_14,Episode_Node,Episode_14,Related
INS_0001_0200_01,Node_15,Episode_Node,Episode_15,Related
INS_0001_0200_01,Node_16,Episode_Node,Episode_16,Related
INS_0001_0200_01,Node_17,Episode_Node,Episode_17,Related
INS_0001_0200_01,Node_18,Episode_Node,Episode_18,Related
INS_0001_0200_01,Node_19,Episode_Node,Episode_19,Related
INS_0001_0200_01,Node_20,Episode_Node,Episode_20,Related
INS_0201_0400_02,Node_181,Episode_Node,Episode_181,Related
INS_0201_0400_02,Node_182,Episode_Node,Episode_182,Related
INS_0201_0400_02,Node_183,Episode_Node,Episode_183,Related
INS_0201_0400_02,Node_184,Episode_Node,Episode_184,Related
INS_0201_0400_02,Node_185,Episode_Node,Episode_185,Related
INS_0201_0400_02,Node_186,Episode_Node,Episode_186,Related
INS_0201_0400_02,Node_187,Episode_Node,Episode_187,Related
INS_0201_0400_02,Node_188,Episode_Node,Episode_188,Related
INS_0201_0400_02,Node_189,Episode_Node,Episode_189,Related
INS_0201_0400_02,Node_190,Episode_Node,Episode_190,Related
INS_0201_0400_02,Node_191,Episode_Node,Episode_191,Related
INS_0201_0400_02,Node_192,Episode_Node,Episode_192,Related
INS_0201_0400_02,Node_193,Episode_Node,Episode_193,Related
INS_0201_0400_02,Node_194,Episode_Node,Episode_194,Related
INS_0201_0400_02,Node_195,Episode_Node,Episode_195,Related
INS_0201_0400_02,Node_196,Episode_Node,Episode_196,Related
INS_0201_0400_02,Node_197,Episode_Node,Episode_197,Related
INS_0201_0400_02,Node_198,Episode_Node,Episode_198,Related
INS_0201_0400_02,Node_199,Episode_Node,Episode_199,Related
INS_0201_0400_02,Node_200,Episode_Node,Episode_200,Related
INS_0401_0600_03,Node_381,Episode_Node,Episode_381,Related
INS_0401_0600_03,Node_382,Episode_Node,Episode_382,Related
INS_0401_0600_03,Node_383,Episode_Node,Episode_383,Related
INS_0401_0600_03,Node_384,Episode_Node,Episode_384,Related
INS_0401_0600_03,Node_385,Episode_Node,Episode_385,Related
INS_0401_0600_03,Node_386,Episode_Node,Episode_386,Related
INS_0401_0600_03,Node_387,Episode_Node,Episode_387,Related
INS_0401_0600_03,Node_388,Episode_Node,Episode_388,Related
INS_0401_0600_03,Node_389,Episode_Node,Episode_389,Related
INS_0401_0600_03,Node_390,Episode_Node,Episode_390,Related
INS_0401_0600_03,Node_391,Episode_Node,Episode_391,Related
INS_0401_0600_03,Node_392,Episode_Node,Episode_392,Related
INS_0401_0600_03,Node_393,Episode_Node,Episode_393,Related
INS_0401_0600_03,Node_394,Episode_Node,Episode_394,Related
INS_0401_0600_03,Node_395,Episode_Node,Episode_395,Related
INS_0401_0600_03,Node_396,Episode_Node,Episode_396,Related
INS_0401_0600_03,Node_397,Episode_Node,Episode_397,Related
INS_0401_0600_03,Node_398,Episode_Node,Episode_398,Related
INS_0401_0600_03,Node_399,Episode_Node,Episode_399,Related
INS_0401_0600_03,Node_400,Episode_Node,Episode_400,Related
INS_0601_0800_04,Node_581,Episode_Node,Episode_581,Related
INS_0601_0800_04,Node_582,Episode_Node,Episode_582,Related
INS_0601_0800_04,Node_583,Episode_Node,Episode_583,Related
INS_0601_0800_04,Node_584,Episode_Node,Episode_584,Related
INS_0601_0800_04,Node_585,Episode_Node,Episode_585,Related
INS_0601_0800_04,Node_586,Episode_Node,Episode_586,Related
INS_0601_0800_04,Node_587,Episode_Node,Episode_587,Related
INS_0601_0800_04,Node_588,Episode_Node,Episode_588,Related
INS_0601_0800_04,Node_589,Episode_Node,Episode_589,Related
INS_0601_0800_04,Node_590,Episode_Node,Episode_590,Related
INS_0601_0800_04,Node_591,Episode_Node,Episode_591,Related
INS_0601_0800_04,Node_592,Episode_Node,Episode_592,Related
INS_0601_0800_04,Node_593,Episode_Node,Episode_593,Related
INS_0601_0800_04,Node_594,Episode_Node,Episode_594,Related
INS_0601_0800_04,Node_595,Episode_Node,Episode_595,Related
INS_0601_0800_04,Node_596,Episode_Node,Episode_596,Related
INS_0601_0800_04,Node_597,Episode_Node,Episode_597,Related
INS_0601_0800_04,Node_598,Episode_Node,Episode_598,Related
