insight_id,episode_id,episode_text,ged_value,ig_value,confidence,insight_type,cross_domain_count,domain_diversity,current_domain,current_research_area,vector_reconstruction,detection_timestamp
DETAILED_INS_0013_8042,13,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",0.7472319304943085,0.013000000000000001,0.38011596524715424,Significant_Insight,9,9,natural language processing,Reinforcement Learning,"Episode_13: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:58:58.042904
DETAILED_INS_0031_8843,31,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.031,0.3937777488231659,Significant_Insight,10,4,medical diagnosis,Large Language Models,"Episode_31: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:58:58.843322
DETAILED_INS_0032_8886,32,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.8714620172977448,0.032,0.4517310086488724,Significant_Insight,7,4,autonomous systems,Computer Vision,"Episode_32: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:58:58.886057
DETAILED_INS_0040_9240,40,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",0.6267958283424377,0.04,0.3333979141712189,Significant_Insight,7,4,educational technology,Adversarial Machine Learning,"Episode_40: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:58:59.240666
DETAILED_INS_0061_172,61,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.061,0.40877774882316587,Significant_Insight,10,3,medical diagnosis,Large Language Models,"Episode_61: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:00.172232
DETAILED_INS_0076_835,76,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",0.6540517210960388,0.076,0.3650258605480194,Significant_Insight,5,2,cybersecurity,Explainable AI,"Episode_76: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:00.835274
DETAILED_INS_0097_1760,97,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",0.8807835876941681,0.097,0.48889179384708403,Significant_Insight,10,1,climate modeling,Multimodal Learning,"Episode_97: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:01.760525
DETAILED_INS_0098_1806,98,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",0.6858410239219666,0.098,0.39192051196098326,Significant_Insight,10,1,drug discovery,Few-shot Learning,"Episode_98: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:01.806359
DETAILED_INS_0101_1942,101,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.101,0.4287777488231659,Significant_Insight,10,1,medical diagnosis,Large Language Models,"Episode_101: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:01.942577
DETAILED_INS_0102_1986,102,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.8714620172977448,0.10200000000000001,0.48673100864887237,Significant_Insight,10,2,autonomous systems,Computer Vision,"Episode_102: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:01.986885
