document_range,documents_processed,new_episodes,new_nodes,new_edges,avg_connections_per_node,integration_rate,insight_score,episode_type
901-1000,1000,80,100,5000,50.0,0.2,5.4,High Connectivity
801-900,900,82,100,5000,50.0,0.18,5.36,High Connectivity
601-700,700,84,100,5000,50.0,0.16,5.32,High Connectivity
701-800,800,85,100,5000,50.0,0.15,5.3,High Connectivity
501-600,600,87,100,5000,50.0,0.13,5.26,High Connectivity
301-400,400,88,100,4956,49.56,0.12,5.196,High Connectivity
401-500,500,90,100,4991,49.91,0.1,5.191,High Connectivity
201-300,300,95,100,4852,48.52,0.05,4.952,High Connectivity
101-200,200,95,100,4630,46.3,0.05,4.73,High Connectivity
101-100,100,95,100,3251,32.51,0.0,3.251,High Connectivity
81-100,100,20,20,452,22.6,0.0,2.26,High Connectivity
61-80,80,20,20,310,15.5,0.0,1.55,High Connectivity
41-60,60,20,20,234,11.7,0.0,1.17,High Connectivity
21-40,40,20,20,115,5.75,0.0,0.575,High Connectivity
