variant,algo,seed,loop_redundancy,clipped_redundancy,unique_coverage,backtrack_rate,path_length
ultra50,simple,111,2.7451523545706373,2.7451523545706373,0.7366296670030272,0.08585858585858586,991
N/A,dfs,111,1.0,1.0,1.0,0.0,579
N/A,random,111,5.746411483253588,5.746411483253588,0.6361365528726062,0.1275,1201
ultra50,simple,222,10.092436974789916,10.092436974789916,0.607826810990841,0.125,1201
N/A,dfs,222,1.0,1.0,1.0,0.0,175
N/A,random,222,8.5177304964539,8.5177304964539,0.3938384679433805,0.20083333333333334,1201
ultra50hd,simple,111,6.086294416243655,6.086294416243655,0.19182652210175147,0.24791318864774625,1199
N/A,dfs,111,1.0,1.0,1.0,0.0,495
N/A,random,111,6.035175879396985,6.035175879396985,0.1948376353039134,0.4575,1201
ultra50hd,simple,222,4.823293172690763,4.823293172690763,0.2531223980016653,0.24916666666666668,1201
N/A,dfs,222,1.0,1.0,1.0,0.0,495
N/A,random,222,26.68888888888889,26.68888888888889,0.09242298084929226,0.4775,1201
