step,row,col,hop0_score,hop1_score,escalated,dead_end,shortcut,hop1_approx,gedig_mode
1,2,48,-0.46153846153846156,-0.3230769230769231,1,0,0,1,core_raw
2,2,47,-0.2857142857142857,-0.19999999999999998,1,0,0,1,core_raw
3,1,47,-0.20689655172413793,-0.14482758620689654,1,0,0,1,core_raw
4,1,46,-0.16216216216216217,-0.1135135135135135,1,0,0,1,core_raw
5,2,46,-0.13333333333333333,-0.09333333333333332,1,0,0,1,core_raw
6,2,45,-0.11320754716981132,-0.07924528301886792,1,0,0,1,core_raw
7,3,45,-0.09836065573770492,-0.06885245901639343,1,0,0,1,core_raw
8,3,46,-0.08695652173913043,-0.0608695652173913,1,0,0,1,core_raw
9,4,46,-0.07792207792207792,-0.05454545454545454,1,0,0,1,core_raw
10,5,46,-0.07058823529411765,-0.04941176470588235,1,0,0,1,core_raw
11,5,45,-0.06451612903225806,-0.04516129032258064,1,0,0,1,core_raw
12,6,45,-0.0594059405940594,-0.04158415841584158,1,0,0,1,core_raw
13,6,44,-0.05504587155963303,-0.03853211009174312,1,0,0,1,core_raw
14,6,43,-0.05128205128205128,-0.035897435897435895,1,0,0,1,core_raw
15,7,43,-0.048,-0.0336,1,0,0,1,core_raw
16,8,43,-0.045112781954887216,-0.03157894736842105,1,0,0,1,core_raw
17,8,42,-0.0425531914893617,-0.02978723404255319,1,0,0,1,core_raw
18,8,41,-0.040268456375838924,-0.028187919463087244,1,0,0,1,core_raw
19,8,40,-0.03821656050955414,-0.026751592356687896,1,0,0,1,core_raw
