step,row,col,hop0_score,hop1_score,escalated,dead_end,shortcut,hop1_approx,gedig_mode
1,1,47,2.0,1.4,1,0,0,1,legacy
2,2,47,2.0,1.4,1,0,0,1,legacy
3,2,46,2.0,1.4,1,0,0,1,legacy
4,1,46,2.0,1.4,1,0,0,1,legacy
5,1,45,2.0,1.4,1,0,0,1,legacy
6,2,45,2.0,1.4,1,0,0,1,legacy
7,3,45,2.0,1.4,1,0,0,1,legacy
8,3,46,2.0,1.4,1,0,0,1,legacy
9,4,46,1.948051948051948,1.3636363636363635,1,0,0,1,legacy
10,4,47,1.7647058823529411,1.2352941176470587,1,0,0,1,legacy
11,5,47,1.6129032258064515,1.129032258064516,1,0,0,1,legacy
12,5,48,1.4851485148514851,1.0396039603960396,1,0,0,1,legacy
13,6,48,1.3761467889908259,0.9633027522935781,1,0,0,1,legacy
14,7,48,1.282051282051282,0.8974358974358972,1,0,0,1,legacy
15,7,47,1.2,0.84,1,0,0,1,legacy
16,8,47,1.1278195488721803,0.7894736842105261,1,0,0,1,legacy
17,8,46,1.0638297872340425,0.7446808510638298,1,0,0,1,legacy
18,9,46,1.006711409395973,0.7046979865771811,1,0,0,1,legacy
19,10,46,0.9554140127388535,0.6687898089171974,1,0,0,1,legacy
20,10,45,0.9090909090909091,0.6363636363636364,1,0,0,1,legacy
21,11,45,0.8670520231213872,0.606936416184971,1,0,0,1,legacy
22,12,45,0.8287292817679558,0.580110497237569,1,0,0,1,legacy
23,12,44,0.7936507936507936,0.5555555555555555,1,0,0,1,legacy
24,13,44,0.7614213197969544,0.5329949238578681,1,0,0,1,legacy
25,14,44,0.7317073170731708,0.5121951219512195,1,0,0,1,legacy
26,14,43,0.7042253521126761,0.49295774647887325,1,0,0,1,legacy
27,15,43,0.6787330316742082,0.4751131221719457,1,0,0,1,legacy
28,14,43,0.0,0.0,1,1,0,1,legacy
29,13,43,0.6550218340611353,0.4585152838427947,1,0,0,1,legacy
