algorithm,maze_size,maze_type,trial,steps,time,success,seed,wall_hits,memory_size
random,10x10,dfs,0,1139,0.013586997985839844,True,42,,
gedig_blind,10x10,dfs,0,91,0.011483907699584961,True,42,45.0,
gedig_visual,10x10,dfs,0,46,0.0047779083251953125,True,42,,34.0
random,10x10,dfs,1,289,0.0028638839721679688,True,52,,
gedig_blind,10x10,dfs,1,40,0.0033621788024902344,True,52,20.0,
gedig_visual,10x10,dfs,1,20,0.0018968582153320312,True,52,,20.0
random,10x10,dfs,2,466,0.004525899887084961,True,62,,
gedig_blind,10x10,dfs,2,59,0.005241870880126953,True,62,29.0,
gedig_visual,10x10,dfs,2,30,0.003023862838745117,True,62,,30.0
random,10x10,dfs,3,1364,0.012967824935913086,True,72,,
gedig_blind,10x10,dfs,3,80,0.005677223205566406,True,72,42.0,
gedig_visual,10x10,dfs,3,38,0.003155946731567383,True,72,,38.0
random,10x10,dfs,4,207,0.0016949176788330078,True,82,,
gedig_blind,10x10,dfs,4,139,0.009603261947631836,True,82,69.0,
gedig_visual,10x10,dfs,4,70,0.0055999755859375,True,82,,46.0
random,10x10,dfs,5,2000,0.016231298446655273,False,92,,
gedig_blind,10x10,dfs,5,49,0.0038220882415771484,True,92,23.0,
gedig_visual,10x10,dfs,5,26,0.0021882057189941406,True,92,,26.0
random,10x10,dfs,6,836,0.007487058639526367,True,102,,
gedig_blind,10x10,dfs,6,51,0.003660917282104492,True,102,27.0,
gedig_visual,10x10,dfs,6,24,0.0018858909606933594,True,102,,24.0
random,10x10,dfs,7,1562,0.012513160705566406,True,112,,
gedig_blind,10x10,dfs,7,61,0.004165172576904297,True,112,31.0,
gedig_visual,10x10,dfs,7,30,0.0023419857025146484,True,112,,24.0
random,10x10,dfs,8,2000,0.01890730857849121,False,122,,
gedig_blind,10x10,dfs,8,81,0.005944252014160156,True,122,39.0,
gedig_visual,10x10,dfs,8,42,0.005007743835449219,True,122,,42.0
random,10x10,dfs,9,284,0.003643035888671875,True,132,,
gedig_blind,10x10,dfs,9,73,0.006555318832397461,True,132,37.0,
gedig_visual,10x10,dfs,9,36,0.0032989978790283203,True,132,,32.0
random,10x10,dfs,10,1338,0.010564088821411133,True,142,,
gedig_blind,10x10,dfs,10,109,0.0075168609619140625,True,142,55.0,
gedig_visual,10x10,dfs,10,54,0.004164695739746094,True,142,,40.0
random,10x10,dfs,11,2000,0.015817880630493164,False,152,,
gedig_blind,10x10,dfs,11,129,0.00951695442199707,True,152,65.0,
gedig_visual,10x10,dfs,11,64,0.0048961639404296875,True,152,,46.0
random,10x10,dfs,12,996,0.008542776107788086,True,162,,
gedig_blind,10x10,dfs,12,55,0.0037119388580322266,True,162,25.0,
gedig_visual,10x10,dfs,12,30,0.002641916275024414,True,162,,30.0
