maze_name,algorithm,algorithm_name,trials_count,convergence_time,path_length,solution_quality,success_rate,exploration_efficiency,memory_usage_mb,gedig_score
RecursiveMaze_11x11,A_Star,A_Star,31,8.292198181152344e-05,17,1.0,1.0,0.5483870967741935,0.004,0.0
RecursiveMaze_11x11,Dijkstra,Dijkstra,41,8.826255798339843e-05,17,1.0,1.0,0.41463414634146345,0.001,0.0
RecursiveMaze_11x11,Reinforcement_Learning,Reinforcement_Learning,12517,0.004114723205566407,17,0.8,1.0,0.030951777732091575,0.39,0.0
RecursiveMaze_11x11,Genetic_Algorithm,Genetic_Algorithm,50,0.003307819366455078,17,0.7,1.0,0.34,5.0,0.0
RecursiveMaze_11x11,SlimeMold_GEDIG,SlimeMold_GEDIG,1000,60.0,0,0.0,0.0,0.0,0.0,0.0
RecursiveMaze_21x21,A_Star,A_Star,67,0.0001572132110595703,45,1.0,1.0,0.6716417910447762,0.001,0.0
RecursiveMaze_21x21,Dijkstra,Dijkstra,91,0.00019316673278808595,45,1.0,1.0,0.4945054945054945,0.001,0.0
RecursiveMaze_21x21,Reinforcement_Learning,Reinforcement_Learning,93869,0.0669893741607666,9,0.16,0.2,0.00012978585334198572,0.898,0.0
RecursiveMaze_21x21,Genetic_Algorithm,Genetic_Algorithm,5000,0.056806182861328124,34,0.0,0.0,0.006959999999999999,5.0,0.0
RecursiveMaze_21x21,SlimeMold_GEDIG,SlimeMold_GEDIG,1000,60.0,0,0.0,0.0,0.0,0.0,0.0
SimpleMaze_15x15,A_Star,A_Star,105,0.0003078460693359375,25,1.0,1.0,0.23809523809523808,0.015,0.0
SimpleMaze_15x15,Dijkstra,Dijkstra,133,0.00032787322998046876,25,1.0,1.0,0.18796992481203006,0.0,0.0
SimpleMaze_15x15,Reinforcement_Learning,Reinforcement_Learning,59382,0.038593196868896486,22,0.64,0.8,0.0004836012169653186,1.72,0.0
SimpleMaze_15x15,Genetic_Algorithm,Genetic_Algorithm,1040,0.03153271675109863,39,0.5599999999999999,0.8,0.6652399999999999,5.0,0.0
SimpleMaze_15x15,SlimeMold_GEDIG,SlimeMold_GEDIG,1000,60.0,0,0.0,0.0,0.0,0.0,0.0
ComplexMaze_31x31,A_Star,A_Star,255,0.0007541656494140625,117,1.0,1.0,0.4588235294117647,0.003,0.0
ComplexMaze_31x31,Dijkstra,Dijkstra,312,0.0009120941162109375,117,1.0,1.0,0.375,0.001,0.0
ComplexMaze_31x31,Reinforcement_Learning,Reinforcement_Learning,100000,0.07142462730407714,0,0.0,0.0,0.0,2.106,0.0
ComplexMaze_31x31,Genetic_Algorithm,Genetic_Algorithm,5000,0.05947332382202149,43,0.0,0.0,0.00876,5.0,0.0
ComplexMaze_31x31,SlimeMold_GEDIG,SlimeMold_GEDIG,1000,60.0,0,0.0,0.0,0.0,0.0,0.0
