query_id,query,category,depth,decision,gedig_score,threshold,novelty,similarity,edges_added,reason,current_nodes,current_edges
1,How does Python's GIL affect multithreading?,Direct,technical,ACCEPTED,0.866,0.766,0.5,0.272,3,Bootstrap phase,14,29
2,What causes overfitting in machine learning?,Direct,conceptual,ACCEPTED,0.866,0.766,0.5,0.222,3,Bootstrap phase,15,29
3,How do transformers compare to RNNs for sequence modeling?,Direct,conceptual,REJECTED,0.986,1.036,0.7,0.14,4,Below threshold,15,29
4,What's the relationship between gradient descent and backpropagation?,Direct,technical,REJECTED,0.731,0.781,0.5,0.248,2,Below threshold,15,29
5,How can we overcome GIL limitations in Python?,Direct,practical,REJECTED,1.002,1.052,0.5,0.295,4,Below threshold,15,29
6,What are advanced regularization techniques beyond L1/L2?,Synthesis,technical,ACCEPTED,0.595,0.42,0.5,0.175,1,Strong geDIG score,16,29
7,How does attention mechanism work in transformers?,Synthesis,technical,REJECTED,0.731,0.781,0.5,0.219,2,Below threshold,16,29
8,What is transfer learning and when to use it?,Synthesis,practical,REJECTED,1.002,1.052,0.5,0.16,4,Below threshold,16,29
9,Explain the vanishing gradient problem,Synthesis,conceptual,ACCEPTED,0.427,0.42,0.9,0.075,0,High novelty,17,29
10,How do GANs generate realistic images?,Synthesis,technical,REJECTED,0.834,0.884,0.9,0.092,3,Below threshold,17,29
11,Compare CNN and transformer architectures for vision tasks,Extension,conceptual,REJECTED,0.986,1.036,0.7,0.149,4,Below threshold,17,29
12,When to use LSTM vs GRU vs Transformer?,Extension,practical,ACCEPTED,1.002,0.42,0.5,0.229,4,Strong geDIG score,18,29
13,How does automatic differentiation work in PyTorch?,Extension,technical,REJECTED,0.427,0.477,0.9,0.064,0,Below threshold,18,29
14,Explain the mathematics behind batch normalization,Extension,technical,REJECTED,0.866,0.916,0.5,0.223,3,Below threshold,18,29
15,Best practices for deploying ML models in production,Extension,practical,ACCEPTED,0.563,0.42,0.9,0.092,1,High novelty,19,29
16,How to handle imbalanced datasets?,Novel,practical,REJECTED,0.866,0.916,0.5,0.251,3,Below threshold,19,29
17,Deep dive into Python memory management internals,Novel,technical,REJECTED,1.002,1.052,0.5,0.244,4,Below threshold,19,29
18,Advanced optimization techniques for deep learning,Novel,technical,ACCEPTED,1.137,0.42,0.5,0.257,5,Strong geDIG score,20,29
19,State-of-the-art NLP architectures beyond BERT,Novel,conceptual,REJECTED,0.731,0.781,0.5,0.195,2,Below threshold,20,29
